timestamp,tool_id,chamber,sensor_id,parameter,value,unit,lot_id,wafer_id,recipe_step
2026-04-13T08:00:15Z,EQP_CVD_01,C1,SEN_001,pressure,0.92,Pa,LOT_0042,WFR_0001,Prereq
2026-04-13T08:00:16Z,EQP_CVD_01,C1,SEN_001,pressure,0.90,Pa,LOT_0042,WFR_0001,Prereq
2026-04-13T08:00:17Z,EQP_CVD_01,C1,SEN_001,pressure,0.88,Pa,LOT_0042,WFR_0001,Prereq
2026-04-13T08:00:15Z,EQP_CVD_01,C1,SEN_002,temperature,85.2,C,LOT_0042,WFR_0001,Prereq
2026-04-13T08:00:16Z,EQP_CVD_01,C1,SEN_002,temperature,85.5,C,LOT_0042,WFR_0001,Prereq
2026-04-13T08:00:17Z,EQP_CVD_01,C1,SEN_002,temperature,85.9,C,LOT_0042,WFR_0001,Prereq
2026-04-13T08:00:15Z,EQP_CVD_01,C1,SEN_003,rf_power,0,W,LOT_0042,WFR_0001,Prereq
2026-04-13T08:00:16Z,EQP_CVD_01,C1,SEN_003,rf_power,0,W,LOT_0042,WFR_0001,Prereq
2026-04-13T08:00:17Z,EQP_CVD_01,C1,SEN_003,rf_power,150,W,LOT_0042,WFR_0001,Prereq
2026-04-13T08:05:00Z,EQP_CVD_01,C1,SEN_001,pressure,0.75,Pa,LOT_0042,WFR_0001,EtchMain
2026-04-13T08:05:01Z,EQP_CVD_01,C1,SEN_001,pressure,0.74,Pa,LOT_0042,WFR_0001,EtchMain
2026-04-13T08:05:02Z,EQP_CVD_01,C1,SEN_001,pressure,0.72,Pa,LOT_0042,WFR_0001,EtchMain
2026-04-13T08:05:03Z,EQP_CVD_01,C1,SEN_001,pressure,0.69,Pa,LOT_0042,WFR_0001,EtchMain
2026-04-13T08:05:04Z,EQP_CVD_01,C1,SEN_001,pressure,0.65,Pa,LOT_0042,WFR_0001,EtchMain
2026-04-13T08:05:05Z,EQP_CVD_01,C1,SEN_001,pressure,,Pa,LOT_0042,WFR_0001,EtchMain
2026-04-13T08:05:06Z,EQP_CVD_01,C1,SEN_001,pressure,0.61,Pa,LOT_0042,WFR_0001,EtchMain
2026-04-13T08:05:00Z,EQP_CVD_01,C1,SEN_002,temperature,90.1,C,LOT_0042,WFR_0001,EtchMain
2026-04-13T08:05:01Z,EQP_CVD_01,C1,SEN_002,temperature,90.4,C,LOT_0042,WFR_0001,EtchMain
2026-04-13T08:05:02Z,EQP_CVD_01,C1,SEN_002,temperature,90.8,C,LOT_0042,WFR_0001,EtchMain
2026-04-13T08:05:03Z,EQP_CVD_01,C1,SEN_002,temperature,91.2,C,LOT_0042,WFR_0001,EtchMain
2026-04-13T08:05:04Z,EQP_CVD_01,C1,SEN_002,temperature,91.5,C,LOT_0042,WFR_0001,EtchMain
2026-04-13T08:05:05Z,EQP_CVD_01,C1,SEN_002,temperature,91.9,C,LOT_0042,WFR_0001,EtchMain
2026-04-13T08:05:00Z,EQP_CVD_01,C1,SEN_003,rf_power,150,W,LOT_0042,WFR_0001,EtchMain
2026-04-13T08:05:01Z,EQP_CVD_01,C1,SEN_003,rf_power,149,W,LOT_0042,WFR_0001,EtchMain
2026-04-13T08:05:02Z,EQP_CVD_01,C1,SEN_003,rf_power,148,W,LOT_0042,WFR_0001,EtchMain
2026-04-13T08:05:03Z,EQP_CVD_01,C1,SEN_003,rf_power,132,W,LOT_0042,WFR_0001,EtchMain
2026-04-13T08:05:04Z,EQP_CVD_01,C1,SEN_003,rf_power,150,W,LOT_0042,WFR_0001,EtchMain
2026-04-13T08:10:00Z,EQP_CVD_01,C2,SEN_004,pressure,0.91,Pa,LOT_0043,WFR_0005,Cooldown
2026-04-13T08:10:01Z,EQP_CVD_01,C2,SEN_004,pressure,0.92,Pa,LOT_0043,WFR_0005,Cooldown
2026-04-13T08:10:02Z,EQP_CVD_01,C2,SEN_004,pressure,0.93,Pa,LOT_0043,WFR_0005,Cooldown
2026-04-13T08:10:00Z,EQP_CVD_01,C2,SEN_005,temperature,65.0,C,LOT_0043,WFR_0005,Cooldown
2026-04-13T08:10:01Z,EQP_CVD_01,C2,SEN_005,temperature,63.2,C,LOT_0043,WFR_0005,Cooldown
2026-04-13T08:10:02Z,EQP_CVD_01,C2,SEN_005,temperature,61.8,C,LOT_0043,WFR_0005,Cooldown
2026-04-13T08:10:03Z,EQP_CVD_01,C2,SEN_005,temperature,60.1,C,LOT_0043,WFR_0005,Cooldown
2026-04-13T08:15:00Z,EQP_CVD_02,C1,SEN_006,pressure,0.88,kPa,LOT_0044,WFR_0010,Deposit
2026-04-13T08:15:01Z,EQP_CVD_02,C1,SEN_006,pressure,0.87,kPa,LOT_0044,WFR_0010,Deposit
2026-04-13T08:15:02Z,EQP_CVD_02,C1,SEN_006,pressure,0.89,kPa,LOT_0044,WFR_0010,Deposit
2026-04-13T08:15:00Z,EQP_CVD_02,C1,SEN_007,temperatureC,200.5,C,LOT_0044,WFR_0010,Deposit
2026-04-13T08:15:01Z,EQP_CVD_02,C1,SEN_007,temperatureC,200.9,C,LOT_0044,WFR_0010,Deposit
2026-04-13T08:15:02Z,EQP_CVD_02,C1,SEN_007,temperatureC,201.2,C,LOT_0044,WFR_0010,Deposit
