record_id,log_date,log_time,tool_id,lot_id,wafer_id,slot_no,recipe_name,step_name,step_seq,step_status,duration_s,chamber,pressure_Pa,temperature_C,rf_power_W,gas1_flow_sccm,gas2_flow_sccm,removal_rate,thickness_A,uniformity_pct,operator_id,notes
REC_0001,2026-04-13,09:00:00,EQP_ETCH_10,LOT_0200,WFR_0200,1,ETCH_RCP_010,PumpDown,1,PASS,60,C1,0.05,25.0,0,0,0,,,,OPR_041,
REC_0002,2026-04-13,09:01:00,EQP_ETCH_10,LOT_0200,WFR_0200,1,ETCH_RCP_010,GasStabilize,2,PASS,30,C1,8.00,25.0,0,45.0,10.0,,,,OPR_041,
REC_0003,2026-04-13,09:01:30,EQP_ETCH_10,LOT_0200,WFR_0200,1,ETCH_RCP_010,PlasmaOn,3,PASS,15,C1,8.00,28.0,200,45.0,10.0,,,,OPR_041,
REC_0004,2026-04-13,09:01:45,EQP_ETCH_10,LOT_0200,WFR_0200,1,ETCH_RCP_010,MainEtch,4,PASS,300,C1,7.80,85.0,200,45.0,10.0,520,3000,1.8,OPR_041,
REC_0005,2026-04-13,09:06:45,EQP_ETCH_10,LOT_0200,WFR_0200,1,ETCH_RCP_010,Purge,5,PASS,30,C1,0.90,60.0,0,0,0,,,,OPR_041,
REC_0006,2026-04-13,09:07:15,EQP_ETCH_10,LOT_0200,WFR_0200,1,ETCH_RCP_010,Vent,6,PASS,20,C1,760.00,30.0,0,0,0,,,,OPR_041,
REC_0007,2026-04-13,09:08:00,EQP_ETCH_10,LOT_0200,WFR_0201,2,ETCH_RCP_010,PumpDown,1,PASS,62,C1,0.05,25.0,0,0,0,,,,OPR_041,
REC_0008,2026-04-13,09:09:02,EQP_ETCH_10,LOT_0200,WFR_0201,2,ETCH_RCP_010,GasStabilize,2,PASS,30,C1,8.00,25.0,0,45.0,10.0,,,,OPR_041,
REC_0009,2026-04-13,09:09:32,EQP_ETCH_10,LOT_0200,WFR_0201,2,ETCH_RCP_010,PlasmaOn,3,PASS,15,C1,8.00,28.0,200,45.0,10.0,,,,OPR_041,
REC_0010,2026-04-13,09:09:47,EQP_ETCH_10,LOT_0200,WFR_0201,2,ETCH_RCP_010,MainEtch,4,PASS,300,C1,7.80,86.2,198,45.0,10.0,515,2990,1.9,OPR_041,
REC_0011,2026-04-13,09:14:47,EQP_ETCH_10,LOT_0200,WFR_0201,2,ETCH_RCP_010,Purge,5,PASS,30,C1,0.90,61.0,0,0,0,,,,OPR_041,
REC_0012,2026-04-13,09:15:17,EQP_ETCH_10,LOT_0200,WFR_0201,2,ETCH_RCP_010,Vent,6,PASS,20,C1,760.00,31.0,0,0,0,,,,OPR_041,
REC_0013,2026-04-13,09:16:00,EQP_ETCH_10,LOT_0200,WFR_0202,3,ETCH_RCP_010,PumpDown,1,PASS,60,C1,0.05,25.0,0,0,0,,,,OPR_041,
REC_0014,2026-04-13,09:17:00,EQP_ETCH_10,LOT_0200,WFR_0202,3,ETCH_RCP_010,GasStabilize,2,PASS,30,C1,8.00,25.0,0,45.0,10.0,,,,OPR_041,
REC_0015,2026-04-13,09:17:30,EQP_ETCH_10,LOT_0200,WFR_0202,3,ETCH_RCP_010,PlasmaOn,3,FAIL,15,C1,8.00,27.0,80,45.0,10.0,,,,OPR_041,RF power failed to reach setpoint
REC_0016,2026-04-13,09:17:45,EQP_ETCH_10,LOT_0200,WFR_0202,3,ETCH_RCP_010,PlasmaOn,3,PASS,18,C1,8.00,28.0,200,45.0,10.0,,,,OPR_041,Retry after RF recovery
REC_0017,2026-04-13,09:18:03,EQP_ETCH_10,LOT_0200,WFR_0202,3,ETCH_RCP_010,MainEtch,4,PASS,300,C1,7.82,84.8,200,45.0,10.0,518,3005,1.7,OPR_041,
REC_0018,2026-04-13,09:23:03,EQP_ETCH_10,LOT_0200,WFR_0202,3,ETCH_RCP_010,Purge,5,PASS,30,C1,0.90,59.5,0,0,0,,,,OPR_041,
REC_0019,2026-04-13,09:23:33,EQP_ETCH_10,LOT_0200,WFR_0202,3,ETCH_RCP_010,Vent,6,PASS,20,C1,760.00,30.5,0,0,0,,,,OPR_041,
REC_0020,2026-04-13,09:24:30,EQP_ETCH_10,LOT_0200,WFR_0203,4,ETCH_RCP_010,PumpDown,1,PASS,61,C1,0.05,25.0,0,0,0,,,,OPR_041,
REC_0021,2026-04-13,09:25:31,EQP_ETCH_10,LOT_0200,WFR_0203,4,ETCH_RCP_010,GasStabilize,2,PASS,30,C1,8.00,25.0,0,45.0,10.0,,,,OPR_041,
REC_0022,2026-04-13,09:26:01,EQP_ETCH_10,LOT_0200,WFR_0203,4,ETCH_RCP_010,PlasmaOn,3,PASS,15,C1,8.00,28.0,200,45.0,10.0,,,,OPR_041,
REC_0023,2026-04-13,09:26:16,EQP_ETCH_10,LOT_0200,WFR_0203,4,ETCH_RCP_010,MainEtch,4,ABORT,122,C1,7.80,88.1,200,45.0,10.0,,,, OPR_041,Wafer dropped mid-etch — process aborted
REC_0024,2026-04-13,09:28:18,EQP_ETCH_10,LOT_0200,WFR_0203,4,ETCH_RCP_010,EmergencyVent,5,PASS,25,C1,760.00,45.0,0,0,0,,,,OPR_041,Post-abort vent
