sample_ts,eqp_name,chamber_no,tag_id,param,raw_val,eng_val,uom,lot_ref,wfr_ref,process_stage,qc_flag
2026-04-13T10:00:00Z,TOOL_ALD_03,1,ALD_T_Z1,reactor_temperature,3142,301.5,degC,LOT_0210,W001,Surface_Prep,OK
2026-04-13T10:00:10Z,TOOL_ALD_03,1,ALD_T_Z1,reactor_temperature,3143,301.6,degC,LOT_0210,W001,Surface_Prep,OK
2026-04-13T10:00:20Z,TOOL_ALD_03,1,ALD_T_Z1,reactor_temperature,3141,301.4,degC,LOT_0210,W001,Surface_Prep,OK
2026-04-13T10:00:30Z,TOOL_ALD_03,1,ALD_T_Z1,reactor_temperature,3144,301.7,degC,LOT_0210,W001,Surface_Prep,OK
2026-04-13T10:00:00Z,TOOL_ALD_03,1,ALD_P_Z1,chamber_pressure,412,0.0050,Torr,LOT_0210,W001,Surface_Prep,OK
2026-04-13T10:00:10Z,TOOL_ALD_03,1,ALD_P_Z1,chamber_pressure,411,0.0050,Torr,LOT_0210,W001,Surface_Prep,OK
2026-04-13T10:00:20Z,TOOL_ALD_03,1,ALD_P_Z1,chamber_pressure,413,0.0051,Torr,LOT_0210,W001,Surface_Prep,OK
2026-04-13T10:00:30Z,TOOL_ALD_03,1,ALD_P_Z1,chamber_pressure,410,0.0050,Torr,LOT_0210,W001,Surface_Prep,OK
2026-04-13T10:00:00Z,TOOL_ALD_03,1,ALD_F_TMA,precursor_flow,200,2.00,sccm,LOT_0210,W001,Surface_Prep,OK
2026-04-13T10:00:10Z,TOOL_ALD_03,1,ALD_F_TMA,precursor_flow,199,1.99,sccm,LOT_0210,W001,Surface_Prep,OK
2026-04-13T10:00:20Z,TOOL_ALD_03,1,ALD_F_TMA,precursor_flow,201,2.01,sccm,LOT_0210,W001,Surface_Prep,OK
2026-04-13T10:05:00Z,TOOL_ALD_03,1,ALD_T_Z1,reactor_temperature,3140,301.3,degC,LOT_0210,W001,ALD_Cycles,OK
2026-04-13T10:05:10Z,TOOL_ALD_03,1,ALD_T_Z1,reactor_temperature,3142,301.5,degC,LOT_0210,W001,ALD_Cycles,OK
2026-04-13T10:05:20Z,TOOL_ALD_03,1,ALD_T_Z1,reactor_temperature,3145,301.8,degC,LOT_0210,W001,ALD_Cycles,OK
2026-04-13T10:05:00Z,TOOL_ALD_03,1,ALD_P_Z1,chamber_pressure,411,0.0050,Torr,LOT_0210,W001,ALD_Cycles,OK
2026-04-13T10:05:10Z,TOOL_ALD_03,1,ALD_P_Z1,chamber_pressure,409,0.0049,Torr,LOT_0210,W001,ALD_Cycles,OK
2026-04-13T10:05:20Z,TOOL_ALD_03,1,ALD_P_Z1,chamber_pressure,412,0.0050,Torr,LOT_0210,W001,ALD_Cycles,OK
2026-04-13T10:10:00Z,TOOL_ALD_03,1,ALD_T_Z1,reactor_temperature,3155,302.8,degC,LOT_0210,W001,ALD_Cycles,WARN
2026-04-13T10:10:10Z,TOOL_ALD_03,1,ALD_T_Z1,reactor_temperature,3162,303.5,degC,LOT_0210,W001,ALD_Cycles,WARN
2026-04-13T10:10:20Z,TOOL_ALD_03,1,ALD_T_Z1,reactor_temperature,3170,304.3,degC,LOT_0210,W001,ALD_Cycles,ALARM
2026-04-13T10:10:30Z,TOOL_ALD_03,1,ALD_T_Z1,reactor_temperature,3165,303.8,degC,LOT_0210,W001,ALD_Cycles,WARN
2026-04-13T10:10:40Z,TOOL_ALD_03,1,ALD_T_Z1,reactor_temperature,3148,302.1,degC,LOT_0210,W001,ALD_Cycles,OK
2026-04-13T10:15:00Z,TOOL_ALD_03,1,ALD_T_Z1,reactor_temperature,3141,301.4,degC,LOT_0210,W001,Post_Anneal,OK
2026-04-13T10:15:10Z,TOOL_ALD_03,1,ALD_T_Z1,reactor_temperature,3140,301.3,degC,LOT_0210,W001,Post_Anneal,OK
2026-04-13T10:15:20Z,TOOL_ALD_03,1,ALD_T_Z1,reactor_temperature,3142,301.5,degC,LOT_0210,W001,Post_Anneal,OK
2026-04-13T10:15:00Z,TOOL_ALD_03,1,ALD_P_Z1,chamber_pressure,410,0.0050,Torr,LOT_0210,W001,Post_Anneal,OK
2026-04-13T10:15:10Z,TOOL_ALD_03,1,ALD_P_Z1,chamber_pressure,411,0.0050,Torr,LOT_0210,W001,Post_Anneal,OK
2026-04-13T10:15:00Z,TOOL_ALD_03,2,ALD_T_Z2,reactor_temperature,3138,301.1,degC,LOT_0210,W002,Surface_Prep,OK
2026-04-13T10:15:10Z,TOOL_ALD_03,2,ALD_T_Z2,reactor_temperature,3139,301.2,degC,LOT_0210,W002,Surface_Prep,OK
2026-04-13T10:15:20Z,TOOL_ALD_03,2,ALD_T_Z2,reactor_temperature,3140,301.3,degC,LOT_0210,W002,Surface_Prep,OK
2026-04-13T10:15:00Z,TOOL_ALD_03,2,ALD_P_Z2,chamber_pressure,415,0.0051,Torr,LOT_0210,W002,Surface_Prep,OK
2026-04-13T10:15:10Z,TOOL_ALD_03,2,ALD_P_Z2,chamber_pressure,413,0.0050,Torr,LOT_0210,W002,Surface_Prep,OK
2026-04-13T10:20:00Z,TOOL_ALD_03,2,ALD_T_Z2,reactor_temperature,3142,301.5,degC,LOT_0210,W002,ALD_Cycles,OK
2026-04-13T10:20:10Z,TOOL_ALD_03,2,ALD_T_Z2,reactor_temperature,3141,301.4,degC,LOT_0210,W002,ALD_Cycles,OK
2026-04-13T10:20:00Z,TOOL_ALD_03,2,ALD_F_TMA,precursor_flow,198,1.98,sccm,LOT_0210,W002,ALD_Cycles,OK
2026-04-13T10:20:10Z,TOOL_ALD_03,2,ALD_F_TMA,precursor_flow,200,2.00,sccm,LOT_0210,W002,ALD_Cycles,OK
2026-04-13T10:20:20Z,TOOL_ALD_03,2,ALD_F_TMA,precursor_flow,202,2.02,sccm,LOT_0210,W002,ALD_Cycles,OK
